#  E [GeV]   Gammas per Interaction 
  1.160176e+00   1.297627e+00
  1.190047e+00   1.206617e+00
  1.220687e+00   1.119359e+00
  1.252116e+00   1.035721e+00
  1.284354e+00   9.613444e-01
  1.317422e+00   8.915747e-01
  1.351342e+00   8.247018e-01
  1.386135e+00   7.606243e-01
  1.421823e+00   7.009342e-01
  1.458431e+00   6.485066e-01
  1.495981e+00   5.982693e-01
  1.534498e+00   5.501455e-01
  1.574007e+00   5.040605e-01
  1.614533e+00   4.639194e-01
  1.656102e+00   4.269181e-01
  1.698741e+00   3.914820e-01
  1.742479e+00   3.575559e-01
  1.787342e+00   3.259505e-01
  1.833361e+00   2.990772e-01
  1.880564e+00   2.733476e-01
  1.928983e+00   2.487212e-01
  1.978649e+00   2.251589e-01
  2.029593e+00   2.051154e-01
  2.081849e+00   1.871272e-01
  2.135450e+00   1.699129e-01
  2.190431e+00   1.534448e-01
  2.246828e+00   1.380982e-01
  2.304677e+00   1.257883e-01
  2.364016e+00   1.140094e-01
  2.424882e+00   1.027425e-01
  2.487315e+00   9.196948e-02
  2.551356e+00   8.292329e-02
  2.617045e+00   7.504214e-02
  2.684426e+00   6.750438e-02
  2.753542e+00   6.029775e-02
  2.824438e+00   5.353375e-02
  2.897158e+00   4.837594e-02
  2.971751e+00   4.344333e-02
  3.048265e+00   3.872786e-02
  3.126748e+00   3.422174e-02
  3.207252e+00   3.046794e-02
  3.289829e+00   2.731041e-02
  3.374532e+00   2.429220e-02
  3.461416e+00   2.140831e-02
  3.550537e+00   1.867112e-02
  3.641953e+00   1.667209e-02
  3.735722e+00   1.476164e-02
  3.831905e+00   1.293660e-02
  3.930565e+00   1.119387e-02
  4.031765e+00   9.760892e-03
  4.135571e+00   8.619452e-03
  4.242049e+00   7.529164e-03
  4.351269e+00   6.488179e-03
  4.463301e+00   5.494709e-03
  4.578217e+00   4.828312e-03
  4.696093e+00   4.200723e-03
  4.817003e+00   3.601597e-03
  4.941026e+00   3.029901e-03
  5.068242e+00   2.566574e-03
  5.198734e+00   2.226277e-03
  5.332585e+00   1.901447e-03
  5.469883e+00   1.591521e-03
  5.610716e+00   1.295956e-03
  5.755175e+00   1.109499e-03
  5.903353e+00   9.406519e-04
  6.055346e+00   7.795818e-04
  6.211253e+00   6.260051e-04
  6.371174e+00   5.046182e-04
  6.535212e+00   4.282838e-04
  6.703474e+00   3.554635e-04
  6.876068e+00   2.860290e-04
  7.053106e+00   2.198563e-04
  7.234702e+00   1.836760e-04
  7.420973e+00   1.536737e-04
  7.612041e+00   1.250619e-04
  7.808027e+00   9.778964e-05
  8.009060e+00   7.611918e-05
  8.215269e+00   6.422839e-05
  8.426787e+00   5.288658e-05
  8.643751e+00   4.207367e-05
  8.866302e+00   3.177027e-05
  9.094582e+00   2.686461e-05
  9.328740e+00   2.341484e-05
  9.568926e+00   2.012133e-05
  9.815297e+00   1.697841e-05
  1.006801e+01   -1.000000e-40
  1.032723e+01   -1.000000e-40
  1.059313e+01   -1.000000e-40
  1.086587e+01   -1.000000e-40
  1.114563e+01   -1.000000e-40
  1.143260e+01   -1.000000e-40
  1.172695e+01   -1.000000e-40
  1.202888e+01   -1.000000e-40
  1.233859e+01   -1.000000e-40
  1.265627e+01   -1.000000e-40
  1.298213e+01   -1.000000e-40
  1.331638e+01   -1.000000e-40
  1.365924e+01   -1.000000e-40
  1.401092e+01   -1.000000e-40
  1.437166e+01   -1.000000e-40
  1.474169e+01   -1.000000e-40
  1.512124e+01   -1.000000e-40
  1.551057e+01   -1.000000e-40
  1.590992e+01   -1.000000e-40
  1.631955e+01   -1.000000e-40
  1.673973e+01   -1.000000e-40
  1.717072e+01   -1.000000e-40
  1.761282e+01   -1.000000e-40
  1.806629e+01   -1.000000e-40
  1.853145e+01   -1.000000e-40
  1.900857e+01   -1.000000e-40
  1.949799e+01   -1.000000e-40
  2.000000e+01   -1.000000e-40
