#  E [GeV]   Gammas per Interaction 
  1.160176e+02   7.257936e-03
  1.190047e+02   6.708533e-03
  1.220687e+02   6.182138e-03
  1.252116e+02   5.677943e-03
  1.284354e+02   5.241048e-03
  1.317422e+02   4.834642e-03
  1.351342e+02   4.445335e-03
  1.386135e+02   4.072527e-03
  1.421823e+02   3.728042e-03
  1.458431e+02   3.433124e-03
  1.495981e+02   3.150662e-03
  1.534498e+02   2.880217e-03
  1.574007e+02   2.621363e-03
  1.614533e+02   2.401224e-03
  1.656102e+02   2.200469e-03
  1.698741e+02   2.008280e-03
  1.742479e+02   1.824352e-03
  1.787342e+02   1.653863e-03
  1.833361e+02   1.512118e-03
  1.880564e+02   1.376447e-03
  1.928983e+02   1.246634e-03
  1.978649e+02   1.122470e-03
  2.029593e+02   1.018446e-03
  2.081849e+02   9.259572e-04
  2.135450e+02   8.374695e-04
  2.190431e+02   7.528406e-04
  2.246828e+02   6.742097e-04
  2.304677e+02   6.124442e-04
  2.364016e+02   5.533546e-04
  2.424882e+02   4.968456e-04
  2.487315e+02   4.428247e-04
  2.551356e+02   3.980013e-04
  2.617045e+02   3.593281e-04
  2.684426e+02   3.223456e-04
  2.753542e+02   2.869932e-04
  2.824438e+02   2.538639e-04
  2.897158e+02   2.291054e-04
  2.971751e+02   2.054298e-04
  3.048265e+02   1.827984e-04
  3.126748e+02   1.611737e-04
  3.207252e+02   1.433725e-04
  3.289829e+02   1.285888e-04
  3.374532e+02   1.144570e-04
  3.461416e+02   1.009535e-04
  3.550537e+02   8.814523e-05
  3.641953e+02   7.909997e-05
  3.735722e+02   7.045326e-05
  3.831905e+02   6.219079e-05
  3.930565e+02   5.429872e-05
  4.031765e+02   4.784312e-05
  4.135571e+02   4.273928e-05
  4.242049e+02   3.786151e-05
  4.351269e+02   3.320169e-05
  4.463301e+02   2.875194e-05
  4.578217e+02   2.573850e-05
  4.696093e+02   2.289688e-05
  4.817003e+02   2.018171e-05
  4.941026e+02   1.758841e-05
  5.068242e+02   1.544831e-05
  5.198734e+02   1.382118e-05
  5.332585e+02   1.226600e-05
  5.469883e+02   1.078019e-05
  5.610716e+02   9.361236e-06
  5.755175e+02   8.437400e-06
  5.903353e+02   7.595022e-06
  6.055346e+02   6.789616e-06
  6.211253e+02   6.019859e-06
  6.371174e+02   5.379381e-06
  6.535212e+02   4.916843e-06
  6.703474e+02   4.474136e-06
  6.876068e+02   4.050555e-06
  7.053106e+02   3.645420e-06
  7.234702e+02   3.355905e-06
  7.420973e+02   3.095025e-06
  7.612041e+02   2.845127e-06
  7.808027e+02   2.605824e-06
  8.009060e+02   2.389988e-06
  8.215269e+02   2.210236e-06
  8.426787e+02   2.038002e-06
  8.643751e+02   1.873021e-06
  8.866302e+02   1.715039e-06
  9.094582e+02   1.606755e-06
  9.328740e+02   1.513588e-06
  9.568926e+02   1.424086e-06
  9.815297e+02   1.338123e-06
  1.006801e+03   -1.000000e-40
  1.032723e+03   -1.000000e-40
  1.059313e+03   -1.000000e-40
  1.086587e+03   -1.000000e-40
  1.114563e+03   -1.000000e-40
  1.143260e+03   -1.000000e-40
  1.172695e+03   -1.000000e-40
  1.202888e+03   -1.000000e-40
  1.233859e+03   -1.000000e-40
  1.265627e+03   -1.000000e-40
  1.298213e+03   -1.000000e-40
  1.331638e+03   -1.000000e-40
  1.365924e+03   -1.000000e-40
  1.401092e+03   -1.000000e-40
  1.437166e+03   -1.000000e-40
  1.474169e+03   -1.000000e-40
  1.512124e+03   -1.000000e-40
  1.551057e+03   -1.000000e-40
  1.590992e+03   -1.000000e-40
  1.631955e+03   -1.000000e-40
  1.673973e+03   -1.000000e-40
  1.717072e+03   -1.000000e-40
  1.761282e+03   -1.000000e-40
  1.806629e+03   -1.000000e-40
  1.853145e+03   -1.000000e-40
  1.900857e+03   -1.000000e-40
  1.949799e+03   -1.000000e-40
  2.000000e+03   -1.000000e-40
