#  E [GeV]   Gammas per Interaction 
  1.160176e+02   3.058196e-04
  1.190047e+02   2.887219e-04
  1.220687e+02   2.722898e-04
  1.252116e+02   2.565008e-04
  1.284354e+02   2.419988e-04
  1.317422e+02   2.282394e-04
  1.351342e+02   2.150182e-04
  1.386135e+02   2.023170e-04
  1.421823e+02   1.903041e-04
  1.458431e+02   1.792895e-04
  1.495981e+02   1.687079e-04
  1.534498e+02   1.585446e-04
  1.574007e+02   1.487852e-04
  1.614533e+02   1.400426e-04
  1.656102e+02   1.318726e-04
  1.698741e+02   1.240245e-04
  1.742479e+02   1.164873e-04
  1.787342e+02   1.093106e-04
  1.833361e+02   1.026559e-04
  1.880564e+02   9.626652e-05
  1.928983e+02   9.013317e-05
  1.978649e+02   8.424707e-05
  2.029593e+02   7.896780e-05
  2.081849e+02   7.407638e-05
  2.135450e+02   6.938075e-05
  2.190431e+02   6.487419e-05
  2.246828e+02   6.060415e-05
  2.304677e+02   5.682527e-05
  2.364016e+02   5.319791e-05
  2.424882e+02   4.971684e-05
  2.487315e+02   4.637701e-05
  2.551356e+02   4.335586e-05
  2.617045e+02   4.056923e-05
  2.684426e+02   3.789518e-05
  2.753542e+02   3.532981e-05
  2.824438e+02   3.288703e-05
  2.897158e+02   3.073161e-05
  2.971751e+02   2.866367e-05
  3.048265e+02   2.668019e-05
  3.126748e+02   2.477822e-05
  3.207252e+02   2.301222e-05
  3.289829e+02   2.136397e-05
  3.374532e+02   1.978396e-05
  3.461416e+02   1.826981e-05
  3.550537e+02   1.682769e-05
  3.641953e+02   1.574889e-05
  3.735722e+02   1.471364e-05
  3.831905e+02   1.372044e-05
  3.930565e+02   1.276783e-05
  4.031765e+02   1.187097e-05
  4.135571e+02   1.102739e-05
  4.242049e+02   1.021869e-05
  4.351269e+02   9.443632e-06
  4.463301e+02   8.701047e-06
  4.578217e+02   8.060413e-06
  4.696093e+02   7.448670e-06
  4.817003e+02   6.862558e-06
  4.941026e+02   6.301178e-06
  5.068242e+02   5.794373e-06
  5.198734e+02   5.347159e-06
  5.332585e+02   4.918745e-06
  5.469883e+02   4.508468e-06
  5.610716e+02   4.115690e-06
  5.755175e+02   3.780169e-06
  5.903353e+02   3.462741e-06
  6.055346e+02   3.158866e-06
  6.211253e+02   2.868065e-06
  6.371174e+02   2.686398e-06
  6.535212e+02   2.664162e-06
  6.703474e+02   2.641350e-06
  6.876068e+02   2.618004e-06
  7.053106e+02   2.594166e-06
  7.234702e+02   7.719224e-06
  7.420973e+02   1.344842e-05
  7.612041e+02   1.888514e-05
  7.808027e+02   2.404046e-05
  8.009060e+02   1.316343e-04
  8.215269e+02   4.423362e-04
  8.426787e+02   7.373574e-04
  8.643751e+02   1.017290e-03
  8.866302e+02   1.282704e-03
  9.094582e+02   6.839736e-03
  9.328740e+02   1.344649e-02
  9.568926e+02   1.971727e-02
  9.815297e+02   2.566478e-02
  1.006801e+03   -1.000000e-40
  1.032723e+03   -1.000000e-40
  1.059313e+03   -1.000000e-40
  1.086587e+03   -1.000000e-40
  1.114563e+03   -1.000000e-40
  1.143260e+03   -1.000000e-40
  1.172695e+03   -1.000000e-40
  1.202888e+03   -1.000000e-40
  1.233859e+03   -1.000000e-40
  1.265627e+03   -1.000000e-40
  1.298213e+03   -1.000000e-40
  1.331638e+03   -1.000000e-40
  1.365924e+03   -1.000000e-40
  1.401092e+03   -1.000000e-40
  1.437166e+03   -1.000000e-40
  1.474169e+03   -1.000000e-40
  1.512124e+03   -1.000000e-40
  1.551057e+03   -1.000000e-40
  1.590992e+03   -1.000000e-40
  1.631955e+03   -1.000000e-40
  1.673973e+03   -1.000000e-40
  1.717072e+03   -1.000000e-40
  1.761282e+03   -1.000000e-40
  1.806629e+03   -1.000000e-40
  1.853145e+03   -1.000000e-40
  1.900857e+03   -1.000000e-40
  1.949799e+03   -1.000000e-40
  2.000000e+03   -1.000000e-40
