#  E [GeV]   Gammas per Interaction 
  1.000000e+00   2.617820e+01
  1.033677e+00   2.545557e+01
  1.068487e+00   2.475223e+01
  1.104471e+00   2.406771e+01
  1.141665e+00   2.339363e+01
  1.180113e+00   2.273099e+01
  1.219855e+00   2.208669e+01
  1.260936e+00   2.145960e+01
  1.303400e+00   2.083747e+01
  1.347294e+00   2.023311e+01
  1.392667e+00   1.964601e+01
  1.439567e+00   1.906893e+01
  1.488047e+00   1.850371e+01
  1.538159e+00   1.795508e+01
  1.589959e+00   1.742149e+01
  1.643504e+00   1.689393e+01
  1.698852e+00   1.638225e+01
  1.756063e+00   1.588598e+01
  1.815202e+00   1.539756e+01
  1.876332e+00   1.491989e+01
  1.939520e+00   1.445700e+01
  2.004837e+00   1.400718e+01
  2.072353e+00   1.356416e+01
  2.142143e+00   1.313513e+01
  2.214283e+00   1.271967e+01
  2.288853e+00   1.231249e+01
  2.365934e+00   1.191601e+01
  2.445611e+00   1.153231e+01
  2.527971e+00   1.115969e+01
  2.613104e+00   1.079401e+01
  2.701105e+00   1.044030e+01
  2.792069e+00   1.009819e+01
  2.886097e+00   9.763141e+00
  2.983291e+00   9.437622e+00
  3.083758e+00   9.122950e+00
  3.187609e+00   8.817523e+00
  3.294957e+00   8.518528e+00
  3.405920e+00   8.229656e+00
  3.520620e+00   7.950565e+00
  3.639183e+00   7.677163e+00
  3.761739e+00   7.412018e+00
  3.888422e+00   7.156001e+00
  4.019371e+00   6.907804e+00
  4.154730e+00   6.665817e+00
  4.294647e+00   6.432267e+00
  4.439277e+00   6.206859e+00
  4.588777e+00   5.986953e+00
  4.743311e+00   5.774264e+00
  4.903050e+00   5.569079e+00
  5.068169e+00   5.370272e+00
  5.238848e+00   5.176866e+00
  5.415275e+00   4.990362e+00
  5.597643e+00   4.810516e+00
  5.786153e+00   4.635232e+00
  5.981012e+00   4.465973e+00
  6.182432e+00   4.302823e+00
  6.390636e+00   4.144868e+00
  6.605851e+00   3.991565e+00
  6.828314e+00   3.843851e+00
  7.058269e+00   3.701525e+00
  7.295968e+00   3.562685e+00
  7.541672e+00   3.428798e+00
  7.795651e+00   3.299854e+00
  8.058182e+00   3.175157e+00
  8.329555e+00   3.054431e+00
  8.610067e+00   2.938201e+00
  8.900025e+00   2.826302e+00
  9.199748e+00   2.717665e+00
  9.509565e+00   2.613067e+00
  9.829816e+00   2.512400e+00
  1.016085e+01   2.415162e+00
  1.050304e+01   2.321221e+00
  1.085674e+01   2.230839e+00
  1.122236e+01   2.143878e+00
  1.160029e+01   2.059673e+00
  1.199095e+01   1.978678e+00
  1.239477e+01   1.900775e+00
  1.281218e+01   1.825616e+00
  1.324365e+01   1.753137e+00
  1.368966e+01   1.683443e+00
  1.415068e+01   1.616451e+00
  1.462723e+01   1.552402e+00
  1.511982e+01   1.490810e+00
  1.562901e+01   1.431584e+00
  1.615534e+01   1.373720e+00
