#  E [GeV]   # per interaction [GeV^{-1}]
  2.262109e+01   3.513942e-02
  2.320351e+01   3.426375e-02
  2.380093e+01   3.340991e-02
  2.441374e+01   3.257734e-02
  2.504232e+01   3.176552e-02
  2.568708e+01   3.092627e-02
  2.634844e+01   3.009654e-02
  2.702683e+01   2.928897e-02
  2.772269e+01   2.850299e-02
  2.843647e+01   2.772260e-02
  2.916862e+01   2.692020e-02
  2.991962e+01   2.614061e-02
  3.068996e+01   2.538320e-02
  3.148013e+01   2.464734e-02
  3.229065e+01   2.389132e-02
  3.312204e+01   2.314282e-02
  3.397483e+01   2.241684e-02
  3.484958e+01   2.171273e-02
  3.574685e+01   2.101716e-02
  3.666722e+01   2.029339e-02
  3.761129e+01   1.959271e-02
  3.857967e+01   1.891442e-02
  3.957297e+01   1.825783e-02
  4.059186e+01   1.758865e-02
  4.163697e+01   1.692549e-02
  4.270900e+01   1.628453e-02
  4.380863e+01   1.566509e-02
  4.493656e+01   1.506089e-02
  4.609354e+01   1.444425e-02
  4.728031e+01   1.384907e-02
  4.849764e+01   1.327467e-02
  4.974630e+01   1.272039e-02
  5.102712e+01   1.216680e-02
  5.234091e+01   1.162146e-02
  5.368853e+01   1.109583e-02
  5.507084e+01   1.058927e-02
  5.648875e+01   1.009930e-02
  5.794316e+01   9.607679e-03
  5.943502e+01   9.134378e-03
  6.096529e+01   8.678784e-03
  6.253496e+01   8.240306e-03
  6.414505e+01   7.812221e-03
  6.579659e+01   7.395636e-03
  6.749065e+01   6.995043e-03
  6.922833e+01   6.609900e-03
  7.101075e+01   6.239194e-03
  7.283906e+01   5.865424e-03
  7.471444e+01   5.506487e-03
  7.663811e+01   5.161874e-03
  7.861131e+01   4.831091e-03
  8.063531e+01   4.514919e-03
  8.271142e+01   4.212813e-03
  8.484099e+01   3.923028e-03
  8.702538e+01   3.645136e-03
  8.926602e+01   3.378724e-03
  9.156435e+01   3.131992e-03
  9.392185e+01   2.895787e-03
  9.634005e+01   2.669467e-03
  9.882052e+01   2.452684e-03
  1.013648e+02   2.252336e-03
  1.039747e+02   2.069476e-03
  1.066517e+02   1.894378e-03
  1.093977e+02   1.726765e-03
  1.122143e+02   1.566373e-03
  1.151035e+02   1.424413e-03
  1.180671e+02   1.289684e-03
  1.211069e+02   1.160820e-03
  1.242251e+02   1.037614e-03
  1.274235e+02   9.271993e-04
  1.307042e+02   8.332395e-04
  1.340695e+02   7.434124e-04
  1.375214e+02   6.575697e-04
  1.410621e+02   5.755681e-04
  1.446940e+02   5.120360e-04
  1.484195e+02   4.538058e-04
  1.522408e+02   3.981763e-04
  1.561605e+02   3.450535e-04
  1.601812e+02   2.997166e-04
  1.643054e+02   2.673406e-04
  1.685357e+02   2.364011e-04
  1.728750e+02   2.068463e-04
  1.773260e+02   1.786264e-04
  1.818916e+02   1.625142e-04
  1.865748e+02   1.498100e-04
  1.913785e+02   1.376412e-04
  1.963059e+02   1.259889e-04
  2.013602e+02   -1.000000e-40
  2.065446e+02   -1.000000e-40
  2.118625e+02   -1.000000e-40
  2.173173e+02   -1.000000e-40
  2.229126e+02   -1.000000e-40
  2.286519e+02   -1.000000e-40
  2.345390e+02   -1.000000e-40
  2.405777e+02   -1.000000e-40
  2.467718e+02   -1.000000e-40
  2.531254e+02   -1.000000e-40
  2.596426e+02   -1.000000e-40
  2.663276e+02   -1.000000e-40
  2.731848e+02   -1.000000e-40
  2.802184e+02   -1.000000e-40
  2.874332e+02   -1.000000e-40
  2.948337e+02   -1.000000e-40
  3.024248e+02   -1.000000e-40
  3.102113e+02   -1.000000e-40
  3.181983e+02   -1.000000e-40
  3.263910e+02   -1.000000e-40
  3.347945e+02   -1.000000e-40
  3.434145e+02   -1.000000e-40
  3.522563e+02   -1.000000e-40
  3.613259e+02   -1.000000e-40
  3.706289e+02   -1.000000e-40
  3.801715e+02   -1.000000e-40
  3.899597e+02   -1.000000e-40
  4.000000e+02   -1.000000e-40
