#  E [GeV]   Gammas per Interaction 
  1.000000e+01   4.854209e+00
  1.033677e+01   4.685931e+00
  1.068487e+01   4.523465e+00
  1.104471e+01   4.366612e+00
  1.141665e+01   4.214269e+00
  1.180113e+01   4.066420e+00
  1.219855e+01   3.923731e+00
  1.260936e+01   3.785951e+00
  1.303400e+01   3.651597e+00
  1.347294e+01   3.521979e+00
  1.392667e+01   3.396931e+00
  1.439567e+01   3.275579e+00
  1.488047e+01   3.158011e+00
  1.538159e+01   3.044627e+00
  1.589959e+01   2.935176e+00
  1.643504e+01   2.828687e+00
  1.698852e+01   2.726021e+00
  1.756063e+01   2.627043e+00
  1.815202e+01   2.530927e+00
  1.876332e+01   2.437874e+00
  1.939520e+01   2.348199e+00
  2.004837e+01   2.261666e+00
  2.072353e+01   2.177634e+00
  2.142143e+01   2.096677e+00
  2.214283e+01   2.018683e+00
  2.288853e+01   1.943129e+00
  2.365934e+01   1.870156e+00
  2.445611e+01   1.799876e+00
  2.527971e+01   1.732086e+00
  2.613104e+01   1.666379e+00
  2.701105e+01   1.603114e+00
  2.792069e+01   1.542204e+00
  2.886097e+01   1.483238e+00
  2.983291e+01   1.426354e+00
  3.083758e+01   1.371603e+00
  3.187609e+01   1.318820e+00
  3.294957e+01   1.267763e+00
  3.405920e+01   1.218632e+00
  3.520620e+01   1.171357e+00
  3.639183e+01   1.125594e+00
  3.761739e+01   1.081487e+00
  3.888422e+01   1.039060e+00
  4.019371e+01   9.981825e-01
  4.154730e+01   9.587069e-01
  4.294647e+01   9.207441e-01
  4.439277e+01   8.842372e-01
  4.588777e+01   8.489923e-01
  4.743311e+01   8.150743e-01
  4.903050e+01   7.824653e-01
  5.068169e+01   7.510741e-01
  5.238848e+01   7.208185e-01
  5.415275e+01   6.917371e-01
  5.597643e+01   6.637855e-01
  5.786153e+01   6.368434e-01
  5.981012e+01   6.109401e-01
  6.182432e+01   5.860487e-01
  6.390636e+01   5.620987e-01
  6.605851e+01   5.390378e-01
  6.828314e+01   5.168829e-01
  7.058269e+01   4.955994e-01
  7.295968e+01   4.750689e-01
  7.541672e+01   4.553419e-01
  7.795651e+01   4.363961e-01
  8.058182e+01   4.181959e-01
  8.329555e+01   4.007114e-01
  8.610067e+01   3.839223e-01
  8.900025e+01   3.678019e-01
  9.199748e+01   3.523170e-01
  9.509565e+01   3.374505e-01
  9.829816e+01   3.231786e-01
  1.016085e+02   3.094772e-01
  1.050304e+02   2.963240e-01
  1.085674e+02   2.836994e-01
  1.122236e+02   2.715829e-01
  1.160029e+02   2.599590e-01
  1.199095e+02   2.488043e-01
  1.239477e+02   2.381005e-01
  1.281218e+02   2.278379e-01
  1.324365e+02   2.179981e-01
  1.368966e+02   2.085576e-01
  1.415068e+02   1.995010e-01
  1.462723e+02   1.908149e-01
  1.511982e+02   1.824831e-01
  1.562901e+02   1.744916e-01
  1.615534e+02   1.668400e-01
  1.669940e+02   1.595108e-01
  1.726178e+02   1.524821e-01
  1.784310e+02   1.457445e-01
  1.844399e+02   1.393054e-01
  1.906513e+02   1.331312e-01
  1.970718e+02   1.272114e-01
  2.037085e+02   1.215517e-01
  2.105687e+02   1.161350e-01
  2.176600e+02   1.109421e-01
  2.249900e+02   1.059681e-01
  2.325669e+02   1.012209e-01
  2.403990e+02   9.667051e-02
  2.484949e+02   9.230920e-02
  2.568633e+02   8.814416e-02
  2.655137e+02   8.415940e-02
  2.744553e+02   8.034073e-02
  2.836980e+02   7.668474e-02
  2.932520e+02   7.319417e-02
  3.031278e+02   6.984964e-02
  3.133361e+02   6.664536e-02
  3.238882e+02   6.359006e-02
  3.347957e+02   6.066843e-02
  3.460705e+02   5.786967e-02
  3.577250e+02   5.519342e-02
  3.697720e+02   5.264352e-02
  3.822247e+02   5.020118e-02
  3.950967e+02   4.786211e-02
  4.084023e+02   4.563516e-02
  4.221559e+02   4.350626e-02
  4.363727e+02   4.146763e-02
  4.510683e+02   3.951995e-02
  4.662588e+02   3.766507e-02
  4.819608e+02   3.588912e-02
  4.981917e+02   3.418890e-02
  5.149691e+02   3.256937e-02
  5.323115e+02   3.102079e-02
  5.502380e+02   2.953855e-02
  5.687682e+02   2.812189e-02
  5.879224e+02   2.676975e-02
  6.077217e+02   2.547587e-02
  6.281877e+02   2.423788e-02
  6.493430e+02   2.305827e-02
  6.712107e+02   2.193051e-02
  6.938149e+02   2.085176e-02
  7.171803e+02   1.982146e-02
  7.413325e+02   1.883833e-02
  7.662981e+02   1.789823e-02
  7.921045e+02   1.699938e-02
  8.187799e+02   1.614235e-02
  8.463537e+02   1.532332e-02
  8.748561e+02   1.454051e-02
  9.043183e+02   1.379326e-02
  9.347728e+02   1.308025e-02
  9.662528e+02   1.239906e-02
  9.987930e+02   1.174837e-02
  1.032429e+03   1.112841e-02
  1.067198e+03   1.053643e-02
  1.103137e+03   9.971208e-03
  1.140287e+03   9.431670e-03
  1.178689e+03   8.916740e-03
  1.218383e+03   8.425352e-03
  1.259414e+03   7.956604e-03
  1.301827e+03   7.516507e-03
  1.345668e+03   7.096640e-03
  1.390986e+03   6.696154e-03
  1.437829e+03   6.319152e-03
  1.486251e+03   5.963732e-03
  1.536303e+03   5.624763e-03
  1.588040e+03   5.302016e-03
  1.641520e+03   5.001381e-03
  1.696801e+03   4.714707e-03
  1.753944e+03   4.441404e-03
  1.813011e+03   4.184219e-03
  1.874067e+03   3.941361e-03
  1.937179e+03   3.709886e-03
  2.002417e+03   3.489821e-03
  2.069852e+03   3.284230e-03
  2.139557e+03   3.088331e-03
  2.211611e+03   2.901711e-03
  2.286090e+03   2.725791e-03
  2.363078e+03   2.559277e-03
  2.442659e+03   2.400719e-03
  2.524919e+03   2.250325e-03
  2.609950e+03   2.110046e-03
  2.697845e+03   1.976518e-03
  2.788699e+03   1.849452e-03
  2.882613e+03   1.730893e-03
  2.979690e+03   1.619153e-03
  3.080036e+03   1.512857e-03
  3.183762e+03   1.412411e-03
  3.290980e+03   1.319320e-03
  3.401809e+03   1.230796e-03
  3.516371e+03   1.146640e-03
  3.634791e+03   1.068711e-03
  3.757198e+03   9.953824e-04
  3.883728e+03   9.256970e-04
  4.014519e+03   8.601859e-04
  4.149715e+03   7.999361e-04
  4.289463e+03   7.426991e-04
  4.433918e+03   6.883425e-04
  4.583238e+03   6.383972e-04
  4.737586e+03   5.914368e-04
  4.897132e+03   5.468586e-04
  5.062051e+03   5.052170e-04
  5.232524e+03   4.671918e-04
  5.408738e+03   4.311081e-04
  5.590887e+03   3.968797e-04
  5.779169e+03   3.660017e-04
  5.973792e+03   3.370386e-04
  6.174970e+03   3.095741e-04
  6.382922e+03   2.841455e-04
  6.597878e+03   2.611353e-04
  6.820073e+03   2.393229e-04
  7.049750e+03   2.186546e-04
  7.287162e+03   2.003857e-04
  7.532569e+03   1.832591e-04
  7.786241e+03   1.670357e-04
  8.048456e+03   1.521959e-04
  8.319501e+03   1.389110e-04
  8.599674e+03   1.263301e-04
  8.889283e+03   1.144216e-04
  9.188644e+03   1.040806e-04
  9.498087e+03   9.436865e-05
  9.817951e+03   8.517902e-05
  1.014859e+04   7.691595e-05
  1.049036e+04   6.961657e-05
  1.084364e+04   6.271117e-05
  1.120882e+04   5.618182e-05
  1.158629e+04   5.074305e-05
  1.197648e+04   4.562138e-05
  1.237981e+04   4.077957e-05
  1.279672e+04   3.650646e-05
  1.322767e+04   3.276801e-05
  1.367313e+04   2.923440e-05
  1.413360e+04   2.590483e-05
  1.460957e+04   2.322519e-05
  1.510157e+04   2.069265e-05
  1.561014e+04   1.830047e-05
  1.613584e+04   1.624208e-05
  1.667924e+04   1.446200e-05
  1.724094e+04   1.278067e-05
  1.782156e+04   1.121109e-05
  1.842173e+04   9.971375e-06
  1.904211e+04   8.800544e-06
  1.968339e+04   7.695419e-06
  2.034626e+04   6.772028e-06
  2.103146e+04   5.980735e-06
  2.173972e+04   5.233815e-06
  2.247185e+04   4.545504e-06
  2.322862e+04   4.019052e-06
  2.401089e+04   3.522079e-06
  2.481949e+04   3.053222e-06
  2.565533e+04   2.672124e-06
  2.651932e+04   2.346070e-06
  2.741240e+04   2.038426e-06
  2.833556e+04   1.758947e-06
  2.928981e+04   1.548573e-06
  3.027619e+04   1.350039e-06
  3.129579e+04   1.162797e-06
  3.234973e+04   1.015887e-06
  3.343916e+04   8.903946e-07
  3.456528e+04   7.720010e-07
  3.572932e+04   6.662645e-07
  3.693257e+04   5.879903e-07
  3.817633e+04   5.141091e-07
  3.946198e+04   4.444179e-07
  4.079093e+04   3.916852e-07
  4.216464e+04   3.464531e-07
  4.358460e+04   3.037525e-07
  4.505239e+04   2.662146e-07
  4.656960e+04   2.384281e-07
  4.813791e+04   2.121696e-07
  4.975903e+04   1.873689e-07
  5.143475e+04   1.684909e-07
  5.316690e+04   1.518624e-07
  5.495739e+04   1.361386e-07
  5.680817e+04   1.223409e-07
  5.872128e+04   1.116229e-07
  6.069882e+04   1.014735e-07
  6.274295e+04   9.186682e-08
  6.485593e+04   8.408755e-08
  6.704006e+04   7.697572e-08
  6.929774e+04   7.023805e-08
  7.163146e+04   6.405201e-08
  7.404377e+04   5.853636e-08
  7.653732e+04   5.331212e-08
  7.911484e+04   4.836615e-08
  8.177916e+04   4.358650e-08
  8.453322e+04   3.905371e-08
  8.738001e+04   3.477001e-08
  9.032268e+04   3.095253e-08
  9.336445e+04   2.767445e-08
  9.650865e+04   2.457712e-08
  9.975874e+04   2.165224e-08
  1.031183e+05   -1.000000e-40
  1.065910e+05   -1.000000e-40
  1.101806e+05   -1.000000e-40
  1.138911e+05   -1.000000e-40
  1.177266e+05   -1.000000e-40
  1.216912e+05   -1.000000e-40
  1.257894e+05   -1.000000e-40
  1.300255e+05   -1.000000e-40
  1.344044e+05   -1.000000e-40
  1.389307e+05   -1.000000e-40
  1.436094e+05   -1.000000e-40
  1.484457e+05   -1.000000e-40
  1.534448e+05   -1.000000e-40
  1.586123e+05   -1.000000e-40
  1.639539e+05   -1.000000e-40
  1.694753e+05   -1.000000e-40
  1.751827e+05   -1.000000e-40
  1.810822e+05   -1.000000e-40
  1.871805e+05   -1.000000e-40
  1.934841e+05   -1.000000e-40
  2.000000e+05   -1.000000e-40
