#  E [GeV]   Gammas per Interaction 
  1.160176e+02   6.896221e-03
  1.190047e+02   6.721911e-03
  1.220687e+02   6.552006e-03
  1.252116e+02   6.386396e-03
  1.284354e+02   6.215017e-03
  1.317422e+02   6.045587e-03
  1.351342e+02   5.880746e-03
  1.386135e+02   5.720371e-03
  1.421823e+02   5.561160e-03
  1.458431e+02   5.397403e-03
  1.495981e+02   5.238364e-03
  1.534498e+02   5.083908e-03
  1.574007e+02   4.933905e-03
  1.614533e+02   4.780679e-03
  1.656102e+02   4.629299e-03
  1.698741e+02   4.482506e-03
  1.742479e+02   4.340166e-03
  1.787342e+02   4.199655e-03
  1.833361e+02   4.053746e-03
  1.880564e+02   3.912516e-03
  1.928983e+02   3.775822e-03
  1.978649e+02   3.643525e-03
  2.029593e+02   3.509421e-03
  2.081849e+02   3.376853e-03
  2.135450e+02   3.248728e-03
  2.190431e+02   3.124909e-03
  2.246828e+02   3.004177e-03
  2.304677e+02   2.881179e-03
  2.364016e+02   2.762462e-03
  2.424882e+02   2.647890e-03
  2.487315e+02   2.537329e-03
  2.551356e+02   2.427128e-03
  2.617045e+02   2.318696e-03
  2.684426e+02   2.214178e-03
  2.753542e+02   2.113446e-03
  2.824438e+02   2.016021e-03
  2.897158e+02   1.918413e-03
  2.971751e+02   1.824435e-03
  3.048265e+02   1.733965e-03
  3.126748e+02   1.646888e-03
  3.207252e+02   1.561525e-03
  3.289829e+02   1.478188e-03
  3.374532e+02   1.398052e-03
  3.461416e+02   1.321007e-03
  3.550537e+02   1.246873e-03
  3.641953e+02   1.172927e-03
  3.735722e+02   1.101908e-03
  3.831905e+02   1.033716e-03
  3.930565e+02   9.682521e-04
  4.031765e+02   9.056075e-04
  4.135571e+02   8.456787e-04
  4.242049e+02   7.881878e-04
  4.351269e+02   7.330503e-04
  4.463301e+02   6.801841e-04
  4.578217e+02   6.312447e-04
  4.696093e+02   5.843880e-04
  4.817003e+02   5.394858e-04
  4.941026e+02   4.964696e-04
  5.068242e+02   4.566885e-04
  5.198734e+02   4.203483e-04
