#  E [GeV]   # per interaction [GeV^{-1}]
  1.131055e+02   5.915081e-03
  1.160176e+02   5.486954e-03
  1.190047e+02   5.076594e-03
  1.220687e+02   4.683377e-03
  1.252116e+02   4.306701e-03
  1.284354e+02   3.982835e-03
  1.317422e+02   3.682258e-03
  1.351342e+02   3.394261e-03
  1.386135e+02   3.118402e-03
  1.421823e+02   2.863657e-03
  1.458431e+02   2.646137e-03
  1.495981e+02   2.437733e-03
  1.534498e+02   2.238124e-03
  1.574007e+02   2.046999e-03
  1.614533e+02   1.883898e-03
  1.656102e+02   1.734890e-03
  1.698741e+02   1.592176e-03
  1.742479e+02   1.455532e-03
  1.787342e+02   1.328776e-03
  1.833361e+02   1.223188e-03
  1.880564e+02   1.122062e-03
  1.928983e+02   1.025243e-03
  1.978649e+02   9.325775e-04
  2.029593e+02   8.540724e-04
  2.081849e+02   7.837728e-04
  2.135450e+02   7.164644e-04
  2.190431e+02   6.520410e-04
  2.246828e+02   5.919663e-04
  2.304677e+02   5.437059e-04
  2.364016e+02   4.974952e-04
  2.424882e+02   4.532619e-04
  2.487315e+02   4.109356e-04
  2.551356e+02   3.750953e-04
  2.617045e+02   3.436516e-04
  2.684426e+02   3.135501e-04
  2.753542e+02   2.847433e-04
  2.824438e+02   2.576281e-04
  2.897158e+02   2.363799e-04
  2.971751e+02   2.160361e-04
  3.048265e+02   1.965646e-04
  3.126748e+02   1.779345e-04
  3.207252e+02   1.620629e-04
  3.289829e+02   1.483946e-04
  3.374532e+02   1.353103e-04
  3.461416e+02   1.227894e-04
  3.550537e+02   1.108769e-04
  3.641953e+02   1.018030e-04
  3.735722e+02   9.311468e-05
  3.831905e+02   8.479841e-05
  3.930565e+02   7.684097e-05
  4.031765e+02   6.990829e-05
  4.135571e+02   6.394289e-05
  4.242049e+02   5.823292e-05
  4.351269e+02   5.276931e-05
  4.463301e+02   4.754330e-05
  4.578217e+02   4.365989e-05
  4.696093e+02   3.997637e-05
  4.817003e+02   3.645027e-05
  4.941026e+02   3.307599e-05
  5.068242e+02   3.020226e-05
  5.198734e+02   2.789140e-05
  5.332585e+02   2.567753e-05
  5.469883e+02   2.355722e-05
  5.610716e+02   2.152717e-05
  5.755175e+02   2.016744e-05
  5.903353e+02   1.891789e-05
  6.055346e+02   1.771837e-05
  6.211253e+02   1.656715e-05
  6.371174e+02   1.559199e-05
  6.535212e+02   1.485931e-05
  6.703474e+02   1.415360e-05
  6.876068e+02   1.347394e-05
  7.053106e+02   1.281950e-05
  7.234702e+02   1.239334e-05
  7.420973e+02   1.201467e-05
  7.612041e+02   1.164721e-05
  7.808027e+02   1.129063e-05
  8.009060e+02   1.096018e-05
  8.215269e+02   1.067083e-05
  8.426787e+02   1.038910e-05
  8.643751e+02   1.011479e-05
  8.866302e+02   9.847710e-06
  9.094582e+02   9.589004e-06
  9.328740e+02   9.337418e-06
  9.568926e+02   9.092419e-06
  9.815297e+02   8.853837e-06
  1.006801e+03   -1.000000e-40
  1.032723e+03   -1.000000e-40
  1.059313e+03   -1.000000e-40
  1.086587e+03   -1.000000e-40
  1.114563e+03   -1.000000e-40
  1.143260e+03   -1.000000e-40
  1.172695e+03   -1.000000e-40
  1.202888e+03   -1.000000e-40
  1.233859e+03   -1.000000e-40
  1.265627e+03   -1.000000e-40
  1.298213e+03   -1.000000e-40
  1.331638e+03   -1.000000e-40
  1.365924e+03   -1.000000e-40
  1.401092e+03   -1.000000e-40
  1.437166e+03   -1.000000e-40
  1.474169e+03   -1.000000e-40
  1.512124e+03   -1.000000e-40
  1.551057e+03   -1.000000e-40
  1.590992e+03   -1.000000e-40
  1.631955e+03   -1.000000e-40
  1.673973e+03   -1.000000e-40
  1.717072e+03   -1.000000e-40
  1.761282e+03   -1.000000e-40
  1.806629e+03   -1.000000e-40
  1.853145e+03   -1.000000e-40
  1.900857e+03   -1.000000e-40
  1.949799e+03   -1.000000e-40
  2.000000e+03   -1.000000e-40
