#  E [GeV]   # per interaction [GeV^{-1}]
  1.131055e+02   7.830593e-03
  1.160176e+02   7.357591e-03
  1.190047e+02   6.903401e-03
  1.220687e+02   6.467376e-03
  1.252116e+02   6.048891e-03
  1.284354e+02   5.670407e-03
  1.317422e+02   5.313212e-03
  1.351342e+02   4.970376e-03
  1.386135e+02   4.641404e-03
  1.421823e+02   4.332356e-03
  1.458431e+02   4.054265e-03
  1.495981e+02   3.787405e-03
  1.534498e+02   3.531387e-03
  1.574007e+02   3.285836e-03
  1.614533e+02   3.065536e-03
  1.656102e+02   2.859719e-03
  1.698741e+02   2.662303e-03
  1.742479e+02   2.472996e-03
  1.787342e+02   2.294798e-03
  1.833361e+02   2.136790e-03
  1.880564e+02   1.985269e-03
  1.928983e+02   1.840008e-03
  1.978649e+02   1.700789e-03
  2.029593e+02   1.577498e-03
  2.081849e+02   1.464152e-03
  2.135450e+02   1.355501e-03
  2.190431e+02   1.251383e-03
  2.246828e+02   1.153341e-03
  2.304677e+02   1.069455e-03
  2.364016e+02   9.890541e-04
  2.424882e+02   9.120152e-04
  2.487315e+02   8.382207e-04
  2.551356e+02   7.733778e-04
  2.617045e+02   7.148404e-04
  2.684426e+02   6.587544e-04
  2.753542e+02   6.050337e-04
  2.824438e+02   5.542332e-04
  2.897158e+02   5.123529e-04
  2.971751e+02   4.722258e-04
  3.048265e+02   4.337904e-04
  3.126748e+02   3.969870e-04
  3.207252e+02   3.649055e-04
  3.289829e+02   3.366398e-04
  3.374532e+02   3.095631e-04
  3.461416e+02   2.836336e-04
  3.550537e+02   2.589349e-04
  3.641953e+02   2.397232e-04
  3.735722e+02   2.213127e-04
  3.831905e+02   2.036754e-04
  3.930565e+02   1.867841e-04
  4.031765e+02   1.722958e-04
  4.135571e+02   1.600731e-04
  4.242049e+02   1.483555e-04
  4.351269e+02   1.371252e-04
  4.463301e+02   1.263652e-04
  4.578217e+02   1.183723e-04
  4.696093e+02   1.107735e-04
  4.817003e+02   1.034816e-04
  4.941026e+02   9.648594e-05
  5.068242e+02   9.048203e-05
  5.198734e+02   8.559454e-05
  5.332585e+02   8.089539e-05
  5.469883e+02   7.637822e-05
  5.610716e+02   7.203685e-05
  5.755175e+02   6.928013e-05
  5.903353e+02   6.675104e-05
  6.055346e+02   6.430527e-05
  6.211253e+02   6.194022e-05
  6.371174e+02   6.013216e-05
  6.535212e+02   5.913036e-05
  6.703474e+02   5.814096e-05
  6.876068e+02   5.716398e-05
  7.053106e+02   5.619941e-05
  7.234702e+02   5.612119e-05
  7.420973e+02   5.615798e-05
  7.612041e+02   5.615755e-05
  7.808027e+02   5.612177e-05
  8.009060e+02   5.293238e-05
  8.215269e+02   4.353336e-05
  8.426787e+02   3.457284e-05
  8.643751e+02   2.603472e-05
  8.866302e+02   1.790344e-05
  9.094582e+02   1.330865e-05
  9.328740e+02   9.721250e-06
  9.568926e+02   6.305559e-06
  9.815297e+02   3.055217e-06
  1.006801e+03   -1.000000e-40
  1.032723e+03   -1.000000e-40
  1.059313e+03   -1.000000e-40
  1.086587e+03   -1.000000e-40
  1.114563e+03   -1.000000e-40
  1.143260e+03   -1.000000e-40
  1.172695e+03   -1.000000e-40
  1.202888e+03   -1.000000e-40
  1.233859e+03   -1.000000e-40
  1.265627e+03   -1.000000e-40
  1.298213e+03   -1.000000e-40
  1.331638e+03   -1.000000e-40
  1.365924e+03   -1.000000e-40
  1.401092e+03   -1.000000e-40
  1.437166e+03   -1.000000e-40
  1.474169e+03   -1.000000e-40
  1.512124e+03   -1.000000e-40
  1.551057e+03   -1.000000e-40
  1.590992e+03   -1.000000e-40
  1.631955e+03   -1.000000e-40
  1.673973e+03   -1.000000e-40
  1.717072e+03   -1.000000e-40
  1.761282e+03   -1.000000e-40
  1.806629e+03   -1.000000e-40
  1.853145e+03   -1.000000e-40
  1.900857e+03   -1.000000e-40
  1.949799e+03   -1.000000e-40
  2.000000e+03   -1.000000e-40
