#  E [GeV]   # per interaction [GeV^{-1}]
  1.131055e+02   7.176176e-03
  1.160176e+02   6.721324e-03
  1.190047e+02   6.284784e-03
  1.220687e+02   5.865924e-03
  1.252116e+02   5.464131e-03
  1.284354e+02   5.104558e-03
  1.317422e+02   4.766400e-03
  1.351342e+02   4.442002e-03
  1.386135e+02   4.130886e-03
  1.421823e+02   3.839717e-03
  1.458431e+02   3.580569e-03
  1.495981e+02   3.332011e-03
  1.534498e+02   3.093675e-03
  1.574007e+02   2.865204e-03
  1.614533e+02   2.662484e-03
  1.656102e+02   2.474021e-03
  1.698741e+02   2.293341e-03
  1.742479e+02   2.120173e-03
  1.787342e+02   1.957595e-03
  1.833361e+02   1.814875e-03
  1.880564e+02   1.678086e-03
  1.928983e+02   1.547020e-03
  1.978649e+02   1.421477e-03
  2.029593e+02   1.311051e-03
  2.081849e+02   1.209950e-03
  2.135450e+02   1.113099e-03
  2.190431e+02   1.020347e-03
  2.246828e+02   9.332517e-04
  2.304677e+02   8.598916e-04
  2.364016e+02   7.896263e-04
  2.424882e+02   7.223467e-04
  2.487315e+02   6.579470e-04
  2.551356e+02   6.018979e-04
  2.617045e+02   5.516735e-04
  2.684426e+02   5.035912e-04
  2.753542e+02   4.575750e-04
  2.824438e+02   4.141460e-04
  2.897158e+02   3.788934e-04
  2.971751e+02   3.451495e-04
  3.048265e+02   3.128609e-04
  3.126748e+02   2.819757e-04
  3.207252e+02   2.554090e-04
  3.289829e+02   2.323110e-04
  3.374532e+02   2.102116e-04
  3.461416e+02   1.890753e-04
  3.550537e+02   1.689664e-04
  3.641953e+02   1.532665e-04
  3.735722e+02   1.382483e-04
  3.831905e+02   1.238874e-04
  3.930565e+02   1.101604e-04
  4.031765e+02   9.844628e-05
  4.135571e+02   8.862982e-05
  4.242049e+02   7.924413e-05
  4.351269e+02   7.027378e-05
  4.463301e+02   6.170383e-05
  4.578217e+02   5.540934e-05
  4.696093e+02   4.945119e-05
  4.817003e+02   4.375723e-05
  4.941026e+02   3.831796e-05
  5.068242e+02   3.372262e-05
  5.198734e+02   3.007648e-05
  5.332585e+02   2.659212e-05
  5.469883e+02   2.326374e-05
  5.610716e+02   2.008569e-05
  5.755175e+02   1.781050e-05
  5.903353e+02   1.570899e-05
  6.055346e+02   1.370175e-05
  6.211253e+02   1.178539e-05
  6.371174e+02   1.017657e-05
  6.535212e+02   8.987751e-06
  6.703474e+02   7.852201e-06
  6.876068e+02   6.767995e-06
  7.053106e+02   5.733270e-06
  7.234702e+02   5.001385e-06
  7.420973e+02   4.345397e-06
  7.612041e+02   3.719188e-06
  7.808027e+02   3.121679e-06
  8.009060e+02   2.612066e-06
  8.215269e+02   2.248381e-06
  8.426787e+02   1.901308e-06
  8.643751e+02   1.570242e-06
  8.866302e+02   1.254598e-06
  9.094582e+02   1.078960e-06
  9.328740e+02   9.427093e-07
  9.568926e+02   8.126192e-07
  9.815297e+02   6.884658e-07
  1.006801e+03   -1.000000e-40
  1.032723e+03   -1.000000e-40
  1.059313e+03   -1.000000e-40
  1.086587e+03   -1.000000e-40
  1.114563e+03   -1.000000e-40
  1.143260e+03   -1.000000e-40
  1.172695e+03   -1.000000e-40
  1.202888e+03   -1.000000e-40
  1.233859e+03   -1.000000e-40
  1.265627e+03   -1.000000e-40
  1.298213e+03   -1.000000e-40
  1.331638e+03   -1.000000e-40
  1.365924e+03   -1.000000e-40
  1.401092e+03   -1.000000e-40
  1.437166e+03   -1.000000e-40
  1.474169e+03   -1.000000e-40
  1.512124e+03   -1.000000e-40
  1.551057e+03   -1.000000e-40
  1.590992e+03   -1.000000e-40
  1.631955e+03   -1.000000e-40
  1.673973e+03   -1.000000e-40
  1.717072e+03   -1.000000e-40
  1.761282e+03   -1.000000e-40
  1.806629e+03   -1.000000e-40
  1.853145e+03   -1.000000e-40
  1.900857e+03   -1.000000e-40
  1.949799e+03   -1.000000e-40
  2.000000e+03   -1.000000e-40
