#  E [GeV]   # per interaction [GeV^{-1}]
  2.000000e-01   2.814316e+01
  2.051494e-01   2.783367e+01
  2.104314e-01   2.752199e+01
  2.158493e-01   2.720842e+01
  2.214068e-01   2.689325e+01
  2.271073e-01   2.657381e+01
  2.329547e-01   2.625023e+01
  2.389525e-01   2.592616e+01
  2.451048e-01   2.560181e+01
  2.514155e-01   2.527741e+01
  2.578887e-01   2.494584e+01
  2.645286e-01   2.461454e+01
  2.713394e-01   2.428416e+01
  2.783255e-01   2.395486e+01
  2.854916e-01   2.361995e+01
  2.928421e-01   2.327729e+01
  3.003819e-01   2.293696e+01
  3.081158e-01   2.259904e+01
  3.160488e-01   2.226364e+01
  3.241861e-01   2.191807e+01
  3.325329e-01   2.157419e+01
  3.410947e-01   2.123377e+01
  3.498768e-01   2.089684e+01
  3.588851e-01   2.055761e+01
  3.681253e-01   2.021191e+01
  3.776034e-01   1.987062e+01
  3.873255e-01   1.953373e+01
  3.972979e-01   1.920123e+01
  4.075272e-01   1.885998e+01
  4.180197e-01   1.852108e+01
  4.287825e-01   1.818731e+01
  4.398223e-01   1.785862e+01
  4.511464e-01   1.753037e+01
  4.627620e-01   1.719672e+01
  4.746767e-01   1.686878e+01
  4.868982e-01   1.654647e+01
  4.994344e-01   1.622972e+01
  5.122933e-01   1.590618e+01
  5.254833e-01   1.558506e+01
  5.390129e-01   1.527005e+01
  5.528908e-01   1.496103e+01
  5.671260e-01   1.465318e+01
  5.817278e-01   1.433677e+01
  5.967055e-01   1.402702e+01
  6.120689e-01   1.372379e+01
  6.278278e-01   1.342694e+01
  6.439924e-01   1.312630e+01
  6.605733e-01   1.282833e+01
  6.775810e-01   1.253704e+01
  6.950267e-01   1.225229e+01
  7.129215e-01   1.197143e+01
  7.312770e-01   1.168594e+01
  7.501052e-01   1.140724e+01
  7.694181e-01   1.113517e+01
  7.892283e-01   1.086958e+01
  8.095485e-01   1.060246e+01
  8.303919e-01   1.033785e+01
  8.517720e-01   1.007985e+01
  8.737025e-01   9.828288e+00
  8.961977e-01   9.581685e+00
  9.192720e-01   9.332230e+00
  9.429405e-01   9.089262e+00
  9.672183e-01   8.852611e+00
  9.921212e-01   8.622113e+00
  1.017665e+00   8.391766e+00
  1.043867e+00   8.163680e+00
  1.070743e+00   7.941758e+00
  1.098312e+00   7.725833e+00
  1.126590e+00   7.515028e+00
  1.155596e+00   7.300160e+00
  1.185349e+00   7.091343e+00
  1.215869e+00   6.888410e+00
  1.247173e+00   6.691197e+00
  1.279284e+00   6.495533e+00
  1.312222e+00   6.302115e+00
  1.346008e+00   6.114315e+00
  1.380663e+00   5.931972e+00
  1.416211e+00   5.754874e+00
  1.452674e+00   5.576729e+00
  1.490076e+00   5.403902e+00
  1.528441e+00   5.236237e+00
  1.567794e+00   5.073584e+00
  1.608160e+00   4.913378e+00
  1.649565e+00   4.755462e+00
  1.692036e+00   4.602378e+00
  1.735601e+00   4.453982e+00
  1.780287e+00   4.310137e+00
  1.826124e+00   4.167028e+00
  1.873142e+00   4.028203e+00
  1.921369e+00   3.893721e+00
  1.970839e+00   3.763453e+00
  2.021582e+00   3.635947e+00
  2.073631e+00   3.510703e+00
  2.127021e+00   3.389456e+00
  2.181785e+00   3.272083e+00
  2.237960e+00   3.158468e+00
  2.295580e+00   3.046143e+00
  2.354684e+00   2.937193e+00
  2.415310e+00   2.831793e+00
  2.477497e+00   2.729834e+00
  2.541285e+00   2.630866e+00
  2.606716e+00   2.534562e+00
  2.673831e+00   2.441436e+00
  2.742673e+00   2.351387e+00
  2.813289e+00   2.264321e+00
  2.885723e+00   2.179566e+00
  2.960021e+00   2.097528e+00
  3.036233e+00   2.018235e+00
  3.114406e+00   1.941601e+00
  3.194593e+00   1.867415e+00
  3.276844e+00   1.795446e+00
  3.361213e+00   1.725914e+00
  3.447754e+00   1.658742e+00
  3.536523e+00   1.593854e+00
  3.627577e+00   1.531016e+00
  3.720976e+00   1.470284e+00
  3.816780e+00   1.411636e+00
  3.915051e+00   1.355006e+00
  4.015851e+00   1.300300e+00
