#  E [GeV]   # per interaction [GeV^{-1}]
  2.262109e+01   4.573510e-02
  2.320351e+01   4.245121e-02
  2.380093e+01   3.930337e-02
  2.441374e+01   3.628680e-02
  2.504232e+01   3.339691e-02
  2.568708e+01   3.087574e-02
  2.634844e+01   2.852528e-02
  2.702683e+01   2.627336e-02
  2.772269e+01   2.411652e-02
  2.843647e+01   2.211900e-02
  2.916862e+01   2.039630e-02
  2.991962e+01   1.874616e-02
  3.068996e+01   1.716600e-02
  3.148013e+01   1.565336e-02
  3.229065e+01   1.435787e-02
  3.312204e+01   1.317268e-02
  3.397483e+01   1.203795e-02
  3.484958e+01   1.095188e-02
  3.574685e+01   9.943750e-03
  3.666722e+01   9.100249e-03
  3.761129e+01   8.292827e-03
  3.857967e+01   7.520205e-03
  3.957297e+01   6.781145e-03
  4.059186e+01   6.159574e-03
  4.163697e+01   5.605608e-03
  4.270900e+01   5.075572e-03
  4.380863e+01   4.568613e-03
  4.493656e+01   4.097203e-03
  4.609354e+01   3.724789e-03
  4.728031e+01   3.368490e-03
  4.849764e+01   3.027730e-03
  4.974630e+01   2.701955e-03
  5.102712e+01   2.430686e-03
  5.234091e+01   2.195957e-03
  5.368853e+01   1.971481e-03
  5.507084e+01   1.756890e-03
  5.648875e+01   1.555681e-03
  5.794316e+01   1.404192e-03
  5.943502e+01   1.259327e-03
  6.096529e+01   1.120851e-03
  6.253496e+01   9.885326e-04
  6.414505e+01   8.790196e-04
  6.579659e+01   7.875394e-04
  6.749065e+01   7.000979e-04
  6.922833e+01   6.165498e-04
  7.101075e+01   5.372977e-04
  7.283906e+01   4.809742e-04
  7.471444e+01   4.271396e-04
  7.663811e+01   3.757046e-04
  7.861131e+01   3.265826e-04
  8.063531e+01   2.862781e-04
  8.271142e+01   2.542722e-04
  8.484099e+01   2.236927e-04
  8.702538e+01   1.944882e-04
  8.926602e+01   1.666088e-04
  9.156435e+01   1.480518e-04
  9.392185e+01   1.305735e-04
  9.634005e+01   1.138794e-04
  9.882052e+01   9.794112e-05
  1.013648e+02   8.491427e-05
  1.039747e+02   7.518877e-05
  1.066517e+02   6.589801e-05
  1.093977e+02   5.702628e-05
  1.122143e+02   4.855841e-05
  1.151035e+02   4.313176e-05
  1.180671e+02   3.819929e-05
  1.211069e+02   3.348726e-05
  1.242251e+02   2.898771e-05
  1.274235e+02   2.531450e-05
  1.307042e+02   2.278694e-05
  1.340695e+02   2.037033e-05
  1.375214e+02   1.806067e-05
  1.410621e+02   1.585412e-05
  1.446940e+02   1.436791e-05
  1.484195e+02   1.305039e-05
  1.522408e+02   1.178995e-05
  1.561605e+02   1.058457e-05
  1.601812e+02   9.523360e-06
  1.643054e+02   8.693679e-06
  1.685357e+02   7.899649e-06
  1.728750e+02   7.140004e-06
  1.773260e+02   6.413516e-06
  1.818916e+02   5.947156e-06
  1.865748e+02   5.557339e-06
  1.913785e+02   5.183345e-06
  1.963059e+02   4.824624e-06
  2.013602e+02   -1.000000e-40
  2.065446e+02   -1.000000e-40
  2.118625e+02   -1.000000e-40
  2.173173e+02   -1.000000e-40
  2.229126e+02   -1.000000e-40
  2.286519e+02   -1.000000e-40
  2.345390e+02   -1.000000e-40
  2.405777e+02   -1.000000e-40
  2.467718e+02   -1.000000e-40
  2.531254e+02   -1.000000e-40
  2.596426e+02   -1.000000e-40
  2.663276e+02   -1.000000e-40
  2.731848e+02   -1.000000e-40
  2.802184e+02   -1.000000e-40
  2.874332e+02   -1.000000e-40
  2.948337e+02   -1.000000e-40
  3.024248e+02   -1.000000e-40
  3.102113e+02   -1.000000e-40
  3.181983e+02   -1.000000e-40
  3.263910e+02   -1.000000e-40
  3.347945e+02   -1.000000e-40
  3.434145e+02   -1.000000e-40
  3.522563e+02   -1.000000e-40
  3.613259e+02   -1.000000e-40
  3.706289e+02   -1.000000e-40
  3.801715e+02   -1.000000e-40
  3.899597e+02   -1.000000e-40
  4.000000e+02   -1.000000e-40
