#  E [GeV]   Gammas per Interaction 
  1.160176e+01   9.170447e-02
  1.190047e+01   8.498078e-02
  1.220687e+01   7.853684e-02
  1.252116e+01   7.236286e-02
  1.284354e+01   6.695717e-02
  1.317422e+01   6.191154e-02
  1.351342e+01   5.707701e-02
  1.386135e+01   5.244618e-02
  1.421823e+01   4.815319e-02
  1.458431e+01   4.443940e-02
  1.495981e+01   4.088171e-02
  1.534498e+01   3.747462e-02
  1.574007e+01   3.421281e-02
  1.614533e+01   3.141205e-02
  1.656102e+01   2.884671e-02
  1.698741e+01   2.639037e-02
  1.742479e+01   2.403917e-02
  1.787342e+01   2.185348e-02
  1.833361e+01   2.001242e-02
  1.880564e+01   1.825001e-02
  1.928983e+01   1.656348e-02
  1.978649e+01   1.495010e-02
  2.029593e+01   1.358834e-02
  2.081849e+01   1.237204e-02
  2.135450e+01   1.120823e-02
  2.190431e+01   1.009505e-02
  2.246828e+01   9.059368e-03
  2.304677e+01   8.237947e-03
  2.364016e+01   7.452055e-03
  2.424882e+01   6.700426e-03
  2.487315e+01   5.981834e-03
  2.551356e+01   5.382847e-03
  2.617045e+01   4.864101e-03
  2.684426e+01   4.368006e-03
  2.753542e+01   3.893750e-03
  2.824438e+01   3.449056e-03
  2.897158e+01   3.114168e-03
  2.971751e+01   2.793918e-03
  3.048265e+01   2.487783e-03
  3.126748e+01   2.195256e-03
  3.207252e+01   1.953059e-03
  3.289829e+01   1.750664e-03
  3.374532e+01   1.557199e-03
  3.461416e+01   1.372344e-03
  3.550537e+01   1.196926e-03
  3.641953e+01   1.070045e-03
  3.735722e+01   9.487783e-04
  3.831905e+01   8.329256e-04
  3.930565e+01   7.222911e-04
  4.031765e+01   6.317352e-04
  4.135571e+01   5.600748e-04
  4.242049e+01   4.916138e-04
  4.351269e+01   4.262367e-04
  4.463301e+01   3.638320e-04
  4.578217e+01   3.223567e-04
  4.696093e+01   2.833004e-04
  4.817003e+01   2.460017e-04
  4.941026e+01   2.103970e-04
  5.068242e+01   1.813711e-04
  5.198734e+01   1.598079e-04
  5.332585e+01   1.392130e-04
  5.469883e+01   1.195513e-04
  5.610716e+01   1.007889e-04
  5.755175e+01   8.883628e-05
  5.903353e+01   7.798572e-05
  6.055346e+01   6.762390e-05
  6.211253e+01   5.773313e-05
  6.371174e+01   4.969010e-05
  6.535212e+01   4.421101e-05
  6.703474e+01   3.897568e-05
  6.876068e+01   3.397531e-05
  7.053106e+01   2.920141e-05
  7.234702e+01   2.615568e-05
  7.420973e+01   2.349753e-05
  7.612041e+01   2.095634e-05
  7.808027e+01   1.852792e-05
  8.009060e+01   1.643155e-05
  8.215269e+01   1.488219e-05
  8.426787e+01   1.340025e-05
  8.643751e+01   1.198333e-05
  8.866302e+01   1.062911e-05
  9.094582e+01   9.801688e-06
  9.328740e+01   9.125978e-06
  9.568926e+01   8.478015e-06
  9.815297e+01   7.856830e-06
  1.006801e+02   -1.000000e-40
  1.032723e+02   -1.000000e-40
  1.059313e+02   -1.000000e-40
  1.086587e+02   -1.000000e-40
  1.114563e+02   -1.000000e-40
  1.143260e+02   -1.000000e-40
  1.172695e+02   -1.000000e-40
  1.202888e+02   -1.000000e-40
  1.233859e+02   -1.000000e-40
  1.265627e+02   -1.000000e-40
  1.298213e+02   -1.000000e-40
  1.331638e+02   -1.000000e-40
  1.365924e+02   -1.000000e-40
  1.401092e+02   -1.000000e-40
  1.437166e+02   -1.000000e-40
  1.474169e+02   -1.000000e-40
  1.512124e+02   -1.000000e-40
  1.551057e+02   -1.000000e-40
  1.590992e+02   -1.000000e-40
  1.631955e+02   -1.000000e-40
  1.673973e+02   -1.000000e-40
  1.717072e+02   -1.000000e-40
  1.761282e+02   -1.000000e-40
  1.806629e+02   -1.000000e-40
  1.853145e+02   -1.000000e-40
  1.900857e+02   -1.000000e-40
  1.949799e+02   -1.000000e-40
  2.000000e+02   -1.000000e-40
