#  E [GeV]   # per interaction [GeV^{-1}]
  2.262109e+01   2.712712e-02
  2.320351e+01   2.511868e-02
  2.380093e+01   2.319397e-02
  2.441374e+01   2.135006e-02
  2.504232e+01   1.958411e-02
  2.568708e+01   1.807888e-02
  2.634844e+01   1.668593e-02
  2.702683e+01   1.535152e-02
  2.772269e+01   1.407358e-02
  2.843647e+01   1.289645e-02
  2.916862e+01   1.189959e-02
  2.991962e+01   1.094464e-02
  3.068996e+01   1.003014e-02
  3.148013e+01   9.154654e-03
  3.229065e+01   8.413251e-03
  3.312204e+01   7.738279e-03
  3.397483e+01   7.091891e-03
  3.484958e+01   6.473077e-03
  3.574685e+01   5.900110e-03
  3.666722e+01   5.426905e-03
  3.761129e+01   4.973739e-03
  3.857967e+01   4.539902e-03
  3.957297e+01   4.124712e-03
  4.059186e+01   3.773936e-03
  4.163697e+01   3.460358e-03
  4.270900e+01   3.160143e-03
  4.380863e+01   2.872820e-03
  4.493656e+01   2.605252e-03
  4.609354e+01   2.392364e-03
  4.728031e+01   2.188522e-03
  4.849764e+01   1.993406e-03
  4.974630e+01   1.806707e-03
  5.102712e+01   1.649233e-03
  5.234091e+01   1.511502e-03
  5.368853e+01   1.379646e-03
  5.507084e+01   1.253457e-03
  5.648875e+01   1.134700e-03
  5.794316e+01   1.041898e-03
  5.943502e+01   9.530393e-04
  6.096529e+01   8.679854e-04
  6.253496e+01   7.866008e-04
  6.414505e+01   7.174610e-04
  6.579659e+01   6.580873e-04
  6.749065e+01   6.012423e-04
  6.922833e+01   5.468363e-04
  7.101075e+01   4.950253e-04
  7.283906e+01   4.541143e-04
  7.471444e+01   4.149451e-04
  7.663811e+01   3.774562e-04
  7.861131e+01   3.415878e-04
  8.063531e+01   3.110576e-04
  8.271142e+01   2.855588e-04
  8.484099e+01   2.611441e-04
  8.702538e+01   2.377752e-04
  8.926602e+01   2.154148e-04
  9.156435e+01   1.996404e-04
  9.392185e+01   1.846980e-04
  9.634005e+01   1.703800e-04
  9.882052e+01   1.566643e-04
  1.013648e+02   1.450666e-04
  1.039747e+02   1.358594e-04
  1.066517e+02   1.270229e-04
  1.093977e+02   1.185445e-04
  1.122143e+02   1.104116e-04
  1.151035e+02   1.048409e-04
  1.180671e+02   9.969232e-05
  1.211069e+02   9.473614e-05
  1.242251e+02   8.996595e-05
  1.274235e+02   8.569999e-05
  1.307042e+02   8.210279e-05
  1.340695e+02   7.863218e-05
  1.375214e+02   7.528407e-05
  1.410621e+02   7.205450e-05
  1.446940e+02   6.825083e-05
  1.484195e+02   6.447727e-05
  1.522408e+02   6.085014e-05
  1.561605e+02   5.736447e-05
  1.601812e+02   5.292321e-05
  1.643054e+02   4.645123e-05
  1.685357e+02   4.027081e-05
  1.728750e+02   3.437139e-05
  1.773260e+02   2.874276e-05
  1.818916e+02   2.508830e-05
  1.865748e+02   2.202850e-05
  1.913785e+02   1.910651e-05
  1.963059e+02   1.631732e-05
  2.013602e+02   -1.000000e-40
  2.065446e+02   -1.000000e-40
  2.118625e+02   -1.000000e-40
  2.173173e+02   -1.000000e-40
  2.229126e+02   -1.000000e-40
  2.286519e+02   -1.000000e-40
  2.345390e+02   -1.000000e-40
  2.405777e+02   -1.000000e-40
  2.467718e+02   -1.000000e-40
  2.531254e+02   -1.000000e-40
  2.596426e+02   -1.000000e-40
  2.663276e+02   -1.000000e-40
  2.731848e+02   -1.000000e-40
  2.802184e+02   -1.000000e-40
  2.874332e+02   -1.000000e-40
  2.948337e+02   -1.000000e-40
  3.024248e+02   -1.000000e-40
  3.102113e+02   -1.000000e-40
  3.181983e+02   -1.000000e-40
  3.263910e+02   -1.000000e-40
  3.347945e+02   -1.000000e-40
  3.434145e+02   -1.000000e-40
  3.522563e+02   -1.000000e-40
  3.613259e+02   -1.000000e-40
  3.706289e+02   -1.000000e-40
  3.801715e+02   -1.000000e-40
  3.899597e+02   -1.000000e-40
  4.000000e+02   -1.000000e-40
