TH1.Print Name  = MVA_BDT_1test_reg_tgt0_rtgt0, Entries= 14066, Total sum= 14066
 fSumw[7][2]=0, x=0.406805, y=-2.16496
 fSumw[8][2]=0, x=0.478798, y=-2.16496
 fSumw[9][2]=0, x=0.550792, y=-2.16496
 fSumw[10][2]=0, x=0.622785, y=-2.16496
 fSumw[11][2]=0, x=0.694779, y=-2.16496
 fSumw[12][2]=0, x=0.766772, y=-2.16496
 fSumw[13][2]=0, x=0.838766, y=-2.16496
 fSumw[14][2]=0, x=0.910759, y=-2.16496
 fSumw[15][2]=0, x=0.982752, y=-2.16496
 fSumw[16][2]=0, x=1.05475, y=-2.16496
 fSumw[17][2]=0, x=1.12674, y=-2.16496
 fSumw[18][2]=0, x=1.19873, y=-2.16496
 fSumw[19][2]=0, x=1.27073, y=-2.16496
 fSumw[20][2]=0, x=1.34272, y=-2.16496
 fSumw[21][2]=0, x=1.41471, y=-2.16496
 fSumw[22][2]=0, x=1.48671, y=-2.16496
 fSumw[23][2]=0, x=1.5587, y=-2.16496
 fSumw[24][2]=0, x=1.63069, y=-2.16496
 fSumw[25][2]=0, x=1.70269, y=-2.16496
 fSumw[26][2]=0, x=1.77468, y=-2.16496
 fSumw[27][2]=0, x=1.84667, y=-2.16496
 fSumw[28][2]=0, x=1.91867, y=-2.16496
 fSumw[29][2]=0, x=1.99066, y=-2.16496
 fSumw[30][2]=0, x=2.06265, y=-2.16496
 fSumw[31][2]=0, x=2.13465, y=-2.16496
 fSumw[32][2]=0, x=2.20664, y=-2.16496
 fSumw[33][2]=0, x=2.27864, y=-2.16496
 fSumw[34][2]=0, x=2.35063, y=-2.16496
 fSumw[35][2]=0, x=2.42262, y=-2.16496
 fSumw[36][2]=0, x=2.49462, y=-2.16496
 fSumw[37][2]=0, x=2.56661, y=-2.16496
 fSumw[38][2]=0, x=2.6386, y=-2.16496
 fSumw[39][2]=0, x=2.7106, y=-2.16496
 fSumw[40][2]=0, x=2.78259, y=-2.16496
 fSumw[41][2]=0, x=2.85458, y=-2.16496
 fSumw[42][2]=0, x=2.92658, y=-2.16496
 fSumw[43][2]=0, x=2.99857, y=-2.16496
 fSumw[44][2]=0, x=3.07056, y=-2.16496
 fSumw[45][2]=0, x=3.14256, y=-2.16496
 fSumw[46][2]=0, x=3.21455, y=-2.16496
 fSumw[47][2]=0, x=3.28654, y=-2.16496
 fSumw[48][2]=0, x=3.35854, y=-2.16496
 fSumw[49][2]=0, x=3.43053, y=-2.16496
 fSumw[50][2]=0, x=3.50252, y=-2.16496
 fSumw[51][2]=0, x=3.57452, y=-2.16496
 fSumw[0][3]=0, x=-0.0971498, y=-2.07053
 fSumw[1][3]=0, x=-0.0251563, y=-2.07053
 fSumw[2][3]=0, x=0.0468372, y=-2.07053
 fSumw[3][3]=0, x=0.118831, y=-2.07053
 fSumw[4][3]=0, x=0.190824, y=-2.07053
 fSumw[5][3]=0, x=0.262818, y=-2.07053
 fSumw[6][3]=0, x=0.334811, y=-2.07053
 fSumw[7][3]=0, x=0.406805, y=-2.07053
 fSumw[8][3]=0, x=0.478798, y=-2.07053
 fSumw[9][3]=0, x=0.550792, y=-2.07053
 fSumw[10][3]=0, x=0.622785, y=-2.07053
 fSumw[11][3]=0, x=0.694779, y=-2.07053
 fSumw[12][3]=0, x=0.766772, y=-2.07053
 fSumw[13][3]=0, x=0.838766, y=-2.07053
 fSumw[14][3]=0, x=0.910759, y=-2.07053
 fSumw[15][3]=0, x=0.982752, y=-2.07053
 fSumw[16][3]=0, x=1.05475, y=-2.07053
 fSumw[17][3]=0, x=1.12674, y=-2.07053
 fSumw[18][3]=0, x=1.19873, y=-2.07053
 fSumw[19][3]=0, x=1.27073, y=-2.07053
 fSumw[20][3]=0, x=1.34272, y=-2.07053
 fSumw[21][3]=0, x=1.41471, y=-2.07053
 fSumw[22][3]=0, x=1.48671, y=-2.07053
 fSumw[23][3]=0, x=1.5587, y=-2.07053
 fSumw[24][3]=0, x=1.63069, y=-2.07053
 fSumw[25][3]=0, x=1.70269, y=-2.07053
 fSumw[26][3]=0, x=1.77468, y=-2.07053
 fSumw[27][3]=0, x=1.84667, y=-2.07053
 fSumw[28][3]=0, x=1.91867, y=-2.07053
 fSumw[29][3]=0, x=1.99066, y=-2.07053
 fSumw[30][3]=0, x=2.06265, y=-2.07053
 fSumw[31][3]=0, x=2.13465, y=-2.07053
 fSumw[32][3]=0, x=2.20664, y=-2.07053
 fSumw[33][3]=0, x=2.27864, y=-2.07053
 fSumw[34][3]=0, x=2.35063, y=-2.07053
 fSumw[35][3]=0, x=2.42262, y=-2.07053
 fSumw[36][3]=0, x=2.49462, y=-2.07053
 fSumw[37][3]=0, x=2.56661, y=-2.07053
 fSumw[38][3]=0, x=2.6386, y=-2.07053
 fSumw[39][3]=0, x=2.7106, y=-2.07053
 fSumw[40][3]=0, x=2.78259, y=-2.07053
 fSumw[41][3]=0, x=2.85458, y=-2.07053
 fSumw[42][3]=0, x=2.92658, y=-2.07053
 fSumw[43][3]=0, x=2.99857, y=-2.07053
 fSumw[44][3]=0, x=3.07056, y=-2.07053
 fSumw[45][3]=0, x=3.14256, y=-2.07053
 fSumw[46][3]=0, x=3.21455, y=-2.07053
 fSumw[47][3]=0, x=3.28654, y=-2.07053
 fSumw[48][3]=0, x=3.35854, y=-2.07053
 fSumw[49][3]=0, x=3.43053, y=-2.07053
 fSumw[50][3]=0, x=3.50252, y=-2.07053
 fSumw[51][3]=0, x=3.57452, y=-2.07053
 fSumw[0][4]=0, x=-0.0971498, y=-1.97611
 fSumw[1][4]=0, x=-0.0251563, y=-1.97611
 fSumw[2][4]=0, x=0.0468372, y=-1.97611
 fSumw[3][4]=0, x=0.118831, y=-1.97611
 fSumw[4][4]=0, x=0.190824, y=-1.97611
 fSumw[5][4]=0, x=0.262818, y=-1.97611
 fSumw[6][4]=0, x=0.334811, y=-1.97611
 fSumw[7][4]=0, x=0.406805, y=-1.97611
 fSumw[8][4]=0, x=0.478798, y=-1.97611
 fSumw[9][4]=0, x=0.550792, y=-1.97611
 fSumw[10][4]=0, x=0.622785, y=-1.97611
 fSumw[11][4]=0, x=0.694779, y=-1.97611
 fSumw[12][4]=0, x=0.766772, y=-1.97611
 fSumw[13][4]=0, x=0.838766, y=-1.97611
 fSumw[14][4]=0, x=0.910759, y=-1.97611
 fSumw[15][4]=0, x=0.982752, y=-1.97611
 fSumw[16][4]=0, x=1.05475, y=-1.97611
 fSumw[17][4]=0, x=1.12674, y=-1.97611
 fSumw[18][4]=0, x=1.19873, y=-1.97611
 fSumw[19][4]=0, x=1.27073, y=-1.97611
 fSumw[20][4]=0, x=1.34272, y=-1.97611
 fSumw[21][4]=0, x=1.41471, y=-1.97611
 fSumw[22][4]=0, x=1.48671, y=-1.97611
 fSumw[23][4]=0, x=1.5587, y=-1.97611
 fSumw[24][4]=0, x=1.63069, y=-1.97611
 fSumw[25][4]=0, x=1.70269, y=-1.97611
 fSumw[26][4]=0, x=1.77468, y=-1.97611
 fSumw[27][4]=0, x=1.84667, y=-1.97611
 fSumw[28][4]=0, x=1.91867, y=-1.97611
 fSumw[29][4]=0, x=1.99066, y=-1.97611
 fSumw[30][4]=0, x=2.06265, y=-1.97611
 fSumw[31][4]=0, x=2.13465, y=-1.97611
 fSumw[32][4]=0, x=2.20664, y=-1.97611
 fSumw[33][4]=0, x=2.27864, y=-1.97611
 fSumw[34][4]=0, x=2.35063, y=-1.97611
 fSumw[35][4]=0, x=2.42262, y=-1.97611
 fSumw[36][4]=0, x=2.49462, y=-1.97611
 fSumw[37][4]=0, x=2.56661, y=-1.97611
 fSumw[38][4]=0, x=2.6386, y=-1.97611
 fSumw[39][4]=0, x=2.7106, y=-1.97611
 fSumw[40][4]=0, x=2.78259, y=-1.97611
 fSumw[41][4]=0, x=2.85458, y=-1.97611
 fSumw[42][4]=0, x=2.92658, y=-1.97611
 fSumw[43][4]=0, x=2.99857, y=-1.97611
 fSumw[44][4]=0, x=3.07056, y=-1.97611
 fSumw[45][4]=0, x=3.14256, y=-1.97611
 fSumw[46][4]=0, x=3.21455, y=-1.97611
 fSumw[47][4]=0, x=3.28654, y=-1.97611
 fSumw[48][4]=0, x=3.35854, y=-1.97611
 fSumw[49][4]=0, x=3.43053, y=-1.97611
 fSumw[50][4]=0, x=3.50252, y=-1.97611
 fSumw[51][4]=0, x=3.57452, y=-1.97611
 fSumw[0][5]=0, x=-0.0971498, y=-1.88168
 fSumw[1][5]=0, x=-0.0251563, y=-1.88168
 fSumw[2][5]=0, x=0.0468372, y=-1.88168
 fSumw[3][5]=0, x=0.118831, y=-1.88168
 fSumw[4][5]=0, x=0.190824, y=-1.88168
 fSumw[5][5]=0, x=0.262818, y=-1.88168
 fSumw[6][5]=0, x=0.334811, y=-1.88168
 fSumw[7][5]=0, x=0.406805, y=-1.88168
 fSumw[8][5]=0, x=0.478798, y=-1.88168
 fSumw[9][5]=0, x=0.550792, y=-1.88168
 fSumw[10][5]=0, x=0.622785, y=-1.88168
 fSumw[11][5]=0, x=0.694779, y=-1.88168
 fSumw[12][5]=0, x=0.766772, y=-1.88168
 fSumw[13][5]=0, x=0.838766, y=-1.88168
 fSumw[14][5]=0, x=0.910759, y=-1.88168
 fSumw[15][5]=0, x=0.982752, y=-1.88168
 fSumw[16][5]=0, x=1.05475, y=-1.88168
 fSumw[17][5]=0, x=1.12674, y=-1.88168
 fSumw[18][5]=0, x=1.19873, y=-1.88168
 fSumw[19][5]=0, x=1.27073, y=-1.88168
 fSumw[20][5]=0, x=1.34272, y=-1.88168
 fSumw[21][5]=0, x=1.41471, y=-1.88168
 fSumw[22][5]=0, x=1.48671, y=-1.88168
 fSumw[23][5]=0, x=1.5587, y=-1.88168
 fSumw[24][5]=0, x=1.63069, y=-1.88168
 fSumw[25][5]=0, x=1.70269, y=-1.88168
 fSumw[26][5]=0, x=1.77468, y=-1.88168
 fSumw[27][5]=0, x=1.84667, y=-1.88168
 fSumw[28][5]=0, x=1.91867, y=-1.88168
 fSumw[29][5]=0, x=1.99066, y=-1.88168
 fSumw[30][5]=0, x=2.06265, y=-1.88168
 fSumw[31][5]=0, x=2.13465, y=-1.88168
 fSumw[32][5]=0, x=2.20664, y=-1.88168
 fSumw[33][5]=0, x=2.27864, y=-1.88168
 fSumw[34][5]=0, x=2.35063, y=-1.88168
 fSumw[35][5]=0, x=2.42262, y=-1.88168
 fSumw[36][5]=0, x=2.49462, y=-1.88168
 fSumw[37][5]=0, x=2.56661, y=-1.88168
 fSumw[38][5]=0, x=2.6386, y=-1.88168
 fSumw[39][5]=1, x=2.7106, y=-1.88168
 fSumw[40][5]=0, x=2.78259, y=-1.88168
 fSumw[41][5]=0, x=2.85458, y=-1.88168
 fSumw[42][5]=0, x=2.92658, y=-1.88168
 fSumw[43][5]=0, x=2.99857, y=-1.88168
 fSumw[44][5]=0, x=3.07056, y=-1.88168
 fSumw[45][5]=1, x=3.14256, y=-1.88168
 fSumw[46][5]=1, x=3.21455, y=-1.88168
 fSumw[47][5]=0, x=3.28654, y=-1.88168
 fSumw[48][5]=0, x=3.35854, y=-1.88168
 fSumw[49][5]=0, x=3.43053, y=-1.88168
 fSumw[50][5]=0, x=3.50252, y=-1.88168
 fSumw[51][5]=0, x=3.57452, y=-1.88168
 fSumw[0][6]=0, x=-0.0971498, y=-1.78726
 fSumw[1][6]=0, x=-0.0251563, y=-1.78726
 fSumw[2][6]=0, x=0.0468372, y=-1.78726
 fSumw[3][6]=0, x=0.118831, y=-1.78726
 fSumw[4][6]=0, x=0.190824, y=-1.78726
 fSumw[5][6]=0, x=0.262818, y=-1.78726
 fSumw[6][6]=0, x=0.334811, y=-1.78726
 fSumw[7][6]=0, x=0.406805, y=-1.78726
 fSumw[8][6]=0, x=0.478798, y=-1.78726
 fSumw[9][6]=0, x=0.550792, y=-1.78726
 fSumw[10][6]=0, x=0.622785, y=-1.78726
 fSumw[11][6]=0, x=0.694779, y=-1.78726
 fSumw[12][6]=0, x=0.766772, y=-1.78726
 fSumw[13][6]=0, x=0.838766, y=-1.78726
 fSumw[14][6]=0, x=0.910759, y=-1.78726
 fSumw[15][6]=0, x=0.982752, y=-1.78726
 fSumw[16][6]=0, x=1.05475, y=-1.78726
 fSumw[17][6]=0, x=1.12674, y=-1.78726
 fSumw[18][6]=0, x=1.19873, y=-1.78726
 fSumw[19][6]=0, x=1.27073, y=-1.78726
 fSumw[20][6]=0, x=1.34272, y=-1.78726
 fSumw[21][6]=0, x=1.41471, y=-1.78726
 fSumw[22][6]=0, x=1.48671, y=-1.78726
 fSumw[23][6]=0, x=1.5587, y=-1.78726
 fSumw[24][6]=0, x=1.63069, y=-1.78726
 fSumw[25][6]=0, x=1.70269, y=-1.78726
 fSumw[26][6]=0, x=1.77468, y=-1.78726
 fSumw[27][6]=0, x=1.84667, y=-1.78726
 fSumw[28][6]=0, x=1.91867, y=-1.78726
 fSumw[29][6]=0, x=1.99066, y=-1.78726
 fSumw[30][6]=0, x=2.06265, y=-1.78726
 fSumw[31][6]=0, x=2.13465, y=-1.78726
 fSumw[32][6]=0, x=2.20664, y=-1.78726
 fSumw[33][6]=0, x=2.27864, y=-1.78726
 fSumw[34][6]=0, x=2.35063, y=-1.78726
 fSumw[35][6]=0, x=2.42262, y=-1.78726
 fSumw[36][6]=1, x=2.49462, y=-1.78726
 fSumw[37][6]=0, x=2.56661, y=-1.78726
 fSumw[38][6]=0, x=2.6386, y=-1.78726
 fSumw[39][6]=0, x=2.7106, y=-1.78726
 fSumw[40][6]=0, x=2.78259, y=-1.78726
 fSumw[41][6]=0, x=2.85458, y=-1.78726
 fSumw[42][6]=0, x=2.92658, y=-1.78726
 fSumw[43][6]=0, x=2.99857, y=-1.78726
 fSumw[44][6]=0, x=3.07056, y=-1.78726
 fSumw[45][6]=0, x=3.14256, y=-1.78726
 fSumw[46][6]=0, x=3.21455, y=-1.78726
 fSumw[47][6]=0, x=3.28654, y=-1.78726
 fSumw[48][6]=0, x=3.35854, y=-1.78726
 fSumw[49][6]=0, x=3.43053, y=-1.78726
 fSumw[50][6]=0, x=3.50252, y=-1.78726
